method,path,backend_status,body_size,statediff_size,body
GET,/api/books/39,200,0,87,
PUT,/api/books/39,200,70,1280,"{""title"":""Updated Test Book 1_38"",""author"":""Updated Test Author 1_38""}"
DELETE,/api/books/39,200,0,1340,
POST,/api/books,200,54,675,"{""title"":""Test Book 1_39"",""author"":""Test Author 1_39""}"
GET,/api/books/40,200,0,87,
PUT,/api/books/40,200,70,1863,"{""title"":""Updated Test Book 1_39"",""author"":""Updated Test Author 1_39""}"
DELETE,/api/books/40,200,0,1217,
POST,/api/books,200,54,672,"{""title"":""Test Book 1_40"",""author"":""Test Author 1_40""}"
GET,/api/books/41,200,0,87,
PUT,/api/books/41,200,70,1282,"{""title"":""Updated Test Book 1_40"",""author"":""Updated Test Author 1_40""}"
DELETE,/api/books/41,200,0,1209,
POST,/api/books,200,54,664,"{""title"":""Test Book 1_41"",""author"":""Test Author 1_41""}"
GET,/api/books/42,200,0,87,
PUT,/api/books/42,200,70,1251,"{""title"":""Updated Test Book 1_41"",""author"":""Updated Test Author 1_41""}"
DELETE,/api/books/42,200,0,1266,
POST,/api/books,200,54,640,"{""title"":""Test Book 1_42"",""author"":""Test Author 1_42""}"
GET,/api/books/43,200,0,87,
PUT,/api/books/43,200,70,1277,"{""title"":""Updated Test Book 1_42"",""author"":""Updated Test Author 1_42""}"
DELETE,/api/books/43,200,0,1226,
POST,/api/books,200,54,674,"{""title"":""Test Book 1_43"",""author"":""Test Author 1_43""}"
GET,/api/books/44,200,0,88,
PUT,/api/books/44,200,70,1260,"{""title"":""Updated Test Book 1_43"",""author"":""Updated Test Author 1_43""}"
DELETE,/api/books/44,200,0,1234,
POST,/api/books,200,54,671,"{""title"":""Test Book 1_44"",""author"":""Test Author 1_44""}"
GET,/api/books/45,200,0,87,
PUT,/api/books/45,200,70,1236,"{""title"":""Updated Test Book 1_44"",""author"":""Updated Test Author 1_44""}"
DELETE,/api/books/45,200,0,1215,
POST,/api/books,200,54,668,"{""title"":""Test Book 1_45"",""author"":""Test Author 1_45""}"
GET,/api/books/46,200,0,86,
