method,path,backend_status,body_size,statediff_size,body
PUT,/api/books/16,200,70,110,"{""title"":""Updated Test Book 1_15"",""author"":""Updated Test Author 1_15""}"
DELETE,/api/books/16,200,0,240,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_16"",""author"":""Test Author 1_16""}"
GET,/api/books/17,200,0,3,
PUT,/api/books/17,200,70,114,"{""title"":""Updated Test Book 1_16"",""author"":""Updated Test Author 1_16""}"
DELETE,/api/books/17,200,0,186,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_17"",""author"":""Test Author 1_17""}"
GET,/api/books/18,200,0,3,
PUT,/api/books/18,200,70,195,"{""title"":""Updated Test Book 1_17"",""author"":""Updated Test Author 1_17""}"
DELETE,/api/books/18,200,0,214,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_18"",""author"":""Test Author 1_18""}"
GET,/api/books/19,200,0,3,
PUT,/api/books/19,200,70,116,"{""title"":""Updated Test Book 1_18"",""author"":""Updated Test Author 1_18""}"
DELETE,/api/books/19,200,0,246,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_19"",""author"":""Test Author 1_19""}"
GET,/api/books/20,200,0,3,
PUT,/api/books/20,200,70,118,"{""title"":""Updated Test Book 1_19"",""author"":""Updated Test Author 1_19""}"
DELETE,/api/books/20,200,0,180,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_20"",""author"":""Test Author 1_20""}"
GET,/api/books/21,200,0,3,
PUT,/api/books/21,200,70,109,"{""title"":""Updated Test Book 1_20"",""author"":""Updated Test Author 1_20""}"
DELETE,/api/books/21,200,0,242,
POST,/api/books,200,54,174,"{""title"":""Test Book 1_21"",""author"":""Test Author 1_21""}"
GET,/api/books/22,200,0,3,
PUT,/api/books/22,200,70,194,"{""title"":""Updated Test Book 1_21"",""author"":""Updated Test Author 1_21""}"
DELETE,/api/books/22,200,0,185,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_22"",""author"":""Test Author 1_22""}"
GET,/api/books/23,200,0,3,
PUT,/api/books/23,200,70,118,"{""title"":""Updated Test Book 1_22"",""author"":""Updated Test Author 1_22""}"
DELETE,/api/books/23,200,0,180,
POST,/api/books,200,54,174,"{""title"":""Test Book 1_23"",""author"":""Test Author 1_23""}"
GET,/api/books/24,200,0,3,
PUT,/api/books/24,200,70,194,"{""title"":""Updated Test Book 1_23"",""author"":""Updated Test Author 1_23""}"
DELETE,/api/books/24,200,0,190,
POST,/api/books,200,54,170,"{""title"":""Test Book 1_24"",""author"":""Test Author 1_24""}"
GET,/api/books/25,200,0,3,
PUT,/api/books/25,200,70,111,"{""title"":""Updated Test Book 1_24"",""author"":""Updated Test Author 1_24""}"
DELETE,/api/books/25,200,0,178,
POST,/api/books,200,54,8281,"{""title"":""Test Book 1_25"",""author"":""Test Author 1_25""}"
GET,/api/books/26,200,0,3,
PUT,/api/books/26,200,70,122,"{""title"":""Updated Test Book 1_25"",""author"":""Updated Test Author 1_25""}"
DELETE,/api/books/26,200,0,189,
